,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides,Life_Evaluation_Avg
Zambia,32.013344271,61.169439095,743390.0,1020.0,9.631274786545454,-0.5175405253636364,0.1372076558181818,36.843495063,82.91111111111111,717.7288083333333,5901.944444444444,34622.21956888889,22.955471824,11.028182381,2.3724564544444444,-5.286096990777777,0.9005630397763834,53.698172089,15.442020197,21.382054245,-0.6693222792727272,0.182039487090909,0.3947010346666667,85.0,21.8,59.68339285857143,11.708344302,2.474162333333333,1.368786197,24341415130.454544,0.1510854860909091,0.2206220234545454,-0.3953901177272728,0.1423799599090909,-0.5410417020909091,0.1682830995454545,3.9311764954,1.8512090444444445,30.651509115500915,53.7,37.1084,7.1303,61.3304,17333305.181818184,9849819.636363637,-0.234937254090909,0.1187415354545454,5.54624674375,4.243033324241639
Benin,34.852784679,29.355711245,112760.0,1039.0,8.9937596731,-0.4545120643636364,0.1625313176363636,37.026698409,47.85888888888889,93.83392070666667,6276.433333333333,13374.787673333332,101.630404406,1.260525322,4.4423510937,6.514276678479875,0.9005630397763834,60.67456278832048,16.28807270553864,26.0776884800252,-0.4853749613636363,0.1880985173636363,0.401080354,149.0,33.09519230769231,53.49690476285714,16.346541139,2.6977894,0.6505630651818182,13843535340.727272,-0.0969598669090909,0.2322121790909091,-0.6198460187272727,0.1485050796363636,-0.4804770863636364,0.1789773621818181,3.176043055090909,0.6624367933333333,30.651509115500915,40.03333333333333,38.366,9.6989,59.6081,11631937.090909092,6170873.727272728,0.1157828964545454,0.127275301,1.127497407,4.252083340009054
Lebanon,65.383870968,13.805708701,10230.0,661.0,54.58181393545454,-1.0551710345454546,0.1485225112727272,99.783584899,4.934444444444444,2708.1324606666662,25733.45555555556,31986.907024444445,575.6269892500001,39.35947677154545,4.69846908125,3.722916666625,0.9005630397763834,60.67456278832048,13.1041316741,23.3940560094,-0.6914150038181819,0.2291252302727272,0.5259204946666667,143.0,28.65,48.776607142857145,76.33922910700001,2.685765,4.2380517816,45444799173.9,-1.623618245,0.2190533361818182,-0.8465769778181819,0.1629168228181818,-0.4971017329090909,0.2064781433636363,2.234896251142857,3.354425087777778,30.651509115500915,37.79023266955267,16.8137,5.003100000000001,78.657,5852398.181818182,677065.5454545454,-0.5101887258181818,0.1241496177272727,3.490793188555555,4.259791675885518
Ethiopia,33.250654739,15.350511264,1128561.7851,848.0,12.00072175518182,-0.4775933326363635,0.1377730329090909,40.141686097,90.84444444444443,62.38460254,14250.044444444444,142488.93794444445,94.808214657,15.960638513363635,5.687135995948968,6.514276678479875,0.4395550195,26.956651285714287,7.930507747666667,9.87392473788889,-0.6375320851818181,0.1824607496363636,0.3839618096666666,159.0,5.4,54.87488095428572,12.519547532,2.403464,0.6955301002727272,81192090107.81818,-1.605101953818182,0.2190533361818182,-0.534930947090909,0.141359195,-1.020490749272727,0.1664913621818181,4.724960543818182,0.8986558855555555,30.651509115500915,35.0,33.3421,7.066,64.1296,108486307.0909091,86278342.27272727,-1.220372806909091,0.1188255942727272,8.63196353,4.269100011825562
Sudan,60.020751607,10.1494618833,1868000.0,250.0,6.068465669818181,-1.4582264314545454,0.1511584926363636,51.456567992,61.49555555555556,233.71569293333332,19473.07777777778,103644.2035422222,21.504858459,86.49503071818182,5.687135995948968,6.514276678479875,0.9005630397763834,60.67456278832048,7.6290899036,11.0048188212,-1.5652774355454546,0.1895343919090909,0.3774952166666667,171.0,4.7,40.49029761857143,22.319999988,2.3242724,1.9400865644285712,63753457170.545456,-2.0396315510909093,0.2257816914545454,-1.2023056095454547,0.1546955311818181,-1.536910338818182,0.1745812010909091,4.3603402764736,1.3040720522222222,30.651509115500915,34.2,35.4993,6.9231,64.90610000000001,40780450.90909091,26686866.181818184,-1.693780758,0.124349779090909,6.470445881890459,4.2736
Sri Lanka,44.618770440000006,34.112115884000005,62125.747,1712.0,10.163395963,-0.3396304967272727,0.1447826852727272,95.854940339,49.940000000000005,513.7361544333334,20206.733333333334,31979.27002666667,346.44184587,9.237729051181818,5.331189841,1.33242708325,0.1100342848571428,69.301138355,10.1928074661,15.924454539,-0.1344076146363636,0.2225385714545454,0.5918982853333333,99.0,33.09519230769231,75.33119047857143,32.3031436175,2.71130975,1.9678772973636365,84400618152.63637,-0.2973213315454545,0.2190533361818182,-0.033705798,0.1575647985454545,-0.2239994061818181,0.1961443303636363,1.9059595228,1.6432216711111112,9.185,38.56666666666667,15.4864,7.0682,75.3005,21580578.545454547,17592594.818181816,-0.2446002255454545,0.1238600002727272,2.696782316875,4.27991667842865
Uganda,71.88809096,12.379226661,200520.0,1180.0,13.627318805454546,-1.0690675756363637,0.135466396090909,30.293917916,91.898,4462.942953169939,4877.5777777777785,35718.26876777778,197.96479552,5.03300137109091,17.372409645714285,10.095021306571429,0.142649993,42.15977324,11.613619365714284,12.56330949,-0.6116751595454546,0.181136688,0.382767459,116.0,10.4,68.34488095285714,6.1360235532,2.811642,1.5341909889090908,33920718441.36364,-0.7903077657272728,0.2190533361818182,-0.351505897090909,0.1405859034545454,-0.3466728057272727,0.1663432324545454,2.227671720636364,0.7729409922222222,30.651509115500915,42.16666666666666,38.909000000000006,6.485899999999999,61.5098,40382599.36363637,30924537.727272727,-0.645562161,0.1176027655454545,10.985287275,4.290000013351441
Mali,34.650423295,10.89666363,1220190.0,282.0,16.609794837000003,-0.7643333564545455,0.1442722014545454,40.620419968,73.253,4462.942953169939,3426.3222222222225,36790.563063333335,15.639010891000002,1.7852322737272728,3.0468999628333333,6.514276678479875,0.23453249775,60.67456278832048,13.820028984444445,12.78114979,-1.0616186802727272,0.179268841,0.3189249233333333,148.0,44.2,53.88916666714285,16.258762835,2.547075,2.4656677127272726,15681758201.181818,-1.9933417710909087,0.2228114483636363,-0.8127386678181818,0.145081921,-0.6032691353636364,0.1726424573636363,3.687713189636364,1.0411688377777777,39.8,35.85,43.6436,9.9896,58.5193,19401748.818181816,11292364.636363637,-0.4289324905454545,0.1219066801818181,6.470445881890459,4.337358335177103
Burkina Faso,44.482821638,23.360423977,273600.0,748.0,12.4900505245,-0.2474826262727272,0.1376163432727273,16.880621833,72.438,4462.942953169939,4145.855555555555,28584.531555555557,71.534001462,2.299403883636364,4.5796336887,6.514276678479875,0.2963760048,55.4397101175,14.553045937000002,15.552951682,-0.6890851963636364,0.1847797076363636,0.3769919716666667,151.0,33.09519230769231,55.89648809428572,8.9494640026,2.521822,1.7550661684545454,15166493966.181818,-1.0777372502727272,0.2202607854545454,-0.4884143634545454,0.1424821737272727,-0.3899245383636364,0.1672399734545454,4.7585598707,2.004961437777778,30.651509115500915,38.56666666666666,38.7583,9.4166,59.0595,19853708.181818184,14106880.545454543,-0.1960780587272727,0.1177000070909091,0.8598765620000001,4.372475010236104
Cambodia,32.738250283,49.450261726,176520.0,1904.0,28.638328175454543,-1.2230037450909093,0.1464550427272727,70.345539046,58.95444444444445,233.86263916666667,11202.21111111111,34476.8738,88.992070587,2.9539754374545453,5.687135995948968,6.514276678479875,0.11823,60.67456278832048,15.401970364,14.03727232,-0.6474466810909091,0.229272352,0.491758247,144.0,33.0,58.960535715714286,30.48308646888889,2.6163994,1.9874585628181816,21838980014.90909,-0.0177586324545454,0.227433076,-0.9940410201818182,0.1552158188181818,-0.5377650883636363,0.1922321711818182,2.008035636,1.5186926522222222,30.651509115500915,37.79023266955267,21.4927,5.9687,69.982,15805149.545454543,12158921.454545457,-1.180422344,0.128728137090909,6.470445881890459,4.3739500096639
